keyword,rank,search_account,note_id,note_url,title,desc,type,author_id,nickname,liked_count,collected_count,comment_count,share_count,target_brand,target_brand_emotion,target_brand_keywords
livingproof,1,,6836f7cd000000002301fedf,https://www.xiaohongshu.com/explore/6836f7cd000000002301fedf?xsec_token=ABW3P5dq9ahZRBZebfjQoCkydX4x4Id1YXHcebFdAOo1Y=&xsec_source=pc_search,不是博主 敢说真话,"我很少去尝试冷门的，手头上的都是小红书比较火的洗发水，不好说我看到的洗发水分享是不是广告，这篇就是说一下我用到现在的感受。
	
且初和offrelax真的洗完很涩，涩的要打结的那种，咬牙用完我肯定就不会回购了（ps：且初味道还是很好闻的）
	
控油的话maternatura和living proof都很不错，洗完会有轻微的涩感！第一瓶更控油，第二瓶更蓬松
	
喜欢柔顺的可以试试欧莱雅玻尿酸和noah，洗完头发都顺顺的，都不用抹护发素了，但控油一般般！
	
olaplex还挺好用的，洗完发质很好！
其它的都一般一般，无功无过
#别怪我说实话 #洗发水 #咱就是说主打一个真实 #洗发水测评",normal,635b45df000000001802cedc,奶茶,71.0,23.0,4.0,6.0,Living Proof,正向,"控油, 很不错, 轻微的涩感, 更蓬松"
livingproof,3,,68216c15000000000303c4eb,https://www.xiaohongshu.com/explore/68216c15000000000303c4eb?xsec_token=ABC4aA3WeshVmiL2sW2jbYQX3HqOnWLvYYhtZ4ShN7cns=&xsec_source=pc_search,大家都抢到了吗？livingproof骨折跳水！,"这一批历史低💰给宝子们发！
嘴皮子都磨破了才砍下来的
夏季也到了 为油扁塌专研的洗发水
控油蓬松用了都说好！
保税仓发🛒链路齐全有保障～
#缕灵洗发水[话题]# #livingproof[话题]# #油扁塌洗发水推荐[话题]# #控油蓬松[话题]# #寻美记[话题]# #油头洗发水推荐[话题]# #丰盈蓬松洗发水[话题]# #氨基酸洗发水[话题]# #洗发水蓬松[话题]# #洗发水清仓捡漏[话题]#",normal,62e8b5ab000000001501ae8e,小甜蜜丸子,16.0,6.0,1.0,5.0,Living Proof,正向,"控油蓬松, 效果好"
livingproof,5,,67245bc8000000001a01ff7d,https://www.xiaohongshu.com/explore/67245bc8000000001a01ff7d?xsec_token=ABJTXQZfGRf4QnJsVwMOMuOZ38B1fB70THe6B8pxXA1PA=&xsec_source=pc_search,避雷天猫livingproof,"买了一套他家洗发水 第一次寄来是漏的
然后说补偿25元 但是我不想要就拒绝
所以换货了 但是二次换回来的还是漏的
看着还是原来那个漏的
要不是心疼我辛辛苦苦抢的李佳琦红包
我就真的退了 这么无良的商家真恶心
#livingproof[话题]#",normal,5e8b786e0000000001002639,啾了个啾,20.0,0.0,1.0,1.0,Living Proof,负向,"无良, 恶心, 漏的"
livingproof,6,,68131640000000000d01467e,https://www.xiaohongshu.com/explore/68131640000000000d01467e?xsec_token=ABPlBA1cLpzvg__1MmwEcYeJamr_p31i0wCq0TCd7X9yE=&xsec_source=pc_search,🛒缕灵2折大羊毛！！细软塌的神！,"🇺🇸高端小众洗发水livingproof
专为细软塌和油头设计
蓬蓬肽黑科技护发 秒get轻盈高颅顶！
	
外观设计：简约而不失高雅，瓶身设计时尚大方，手感舒适，易于抓握。按压开盖设计，控制用量不易漏。
	
功能特点：氨基酸表活，能够深层清洁头皮，有效去油止痒，同时补充发丝所需营养，让头发丰盈蓬松。
质地轻盈，易于起泡，泡沫丰富细腻，能深入发根清洁。
	
使用体验：使用后头发清爽度大大提升，维持时间长，控油蓬松效果显著，持续48小时不是问题，且不刺激头皮。尤其对于细软塌大油头来说，真的值得一试。
	
清仓[购物车R]2折，79就能把正装带回家，囤货装性价比更高，全家都能一起用！
	
#livingproof洗发水[话题]# #livingproof[话题]##控油洗发水[话题]##蓬松洗发水[话题]##护发洗发水[话题]# #细软塌必备[话题]# #看得见的肽蓬松力[话题]# #洗发水清仓捡漏[话题]# #进口洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]#",normal,62e8b5ab000000001501ae8e,小甜蜜丸子,5.0,3.0,1.0,2.0,Living Proof,正向,"高端, 小众, 简约, 高雅, 时尚, 舒适, 不刺激"
livingproof,7,,67e15fdd000000001b03bed4,https://www.xiaohongshu.com/explore/67e15fdd000000001b03bed4?xsec_token=ABkX-AZI6VDHBGZ-tqEW7qSbhF64n8QURbR8ieFyQ1l9E=&xsec_source=pc_search,缕灵！我是真的受够了！！！！,"真的够够了，每天就这么不间断地滴滴滴滴滴滴，每一天！！！！每时每刻！！！！到底能不能改进一下你们的泵头！！！！还我置物架干净清爽也是你们的职责之一好吗！！！！造成的浪费我就不说了！
	
#缕灵[话题]# #livingproof[话题]#  @Living proof 缕灵 @Living proof缕灵 @Living proof缕灵 @Living proof 缕灵",normal,5a5768004eacab5fb1edbf2a,哈利波波波波特,0.0,1.0,11.0,0.0,Living Proof,负向,"浪费, 不够干净, 泵头问题"
livingproof,8,,68020165000000000903a604,https://www.xiaohongshu.com/explore/68020165000000000903a604?xsec_token=ABwG2jwxlfTObRjKUIhowNWePMgAethnfQankdAANGUg8=&xsec_source=pc_search,试过控油蓬松最🐮的❗️真不是一般能比的,"小众高端洗发水livingproof大跳水啦！
快来捡漏‼️
建议宝子们先去比比日常💰
这个机制真的可遇不可求啊！嘴皮子都讲破了！
	
油扁塌一定要试试这瓶丧心病狂式吃油蓬松机器❗️
氨基酸表活 黑科技清洁护发
直接让我改“头”换面了！
添加了专研蓬蓬肽和蠕虫叉红藻提取物
能够进入发芯丰盈
真正48h控油蓬松不扁塌‼️
	
#控油蓬松[话题]# #洗发水控油蓬松[话题]# #看得见的肽蓬松力[话题]# #livingproof洗发水[话题]# #缕灵科技护发[话题]# #llivingproof[话题]# #大牌洗发水清仓[话题]# #控油洗发水推荐[话题]# #洗发水成分安全[话题]# #平价洗发水[话题]#",video,62e8b5ab000000001501ae8e,小甜蜜丸子,1.0,0.0,1.0,0.0,Living Proof,正向,"高端, 控油蓬松, 氨基酸表活, 黑科技清洁护发"
livingproof,10,,682402ec0000000022025469,https://www.xiaohongshu.com/explore/682402ec0000000022025469?xsec_token=ABt0A-ZxoXzbj07el-1f8LQGk5dCqW7OCae66kEh0O3Zw=&xsec_source=pc_search,35💰了❗️去油蓬松是真的很绝❗️,"用过的都爱吧～
源价是真贵，清仓还不错
数量不多，去冲去冲～
#清仓特价[话题]# #洗发水测评[话题]# #控油蓬松[话题]# #洗发水红榜[话题]# #蓬松洗发水[话题]# #控油洗发水[话题]# #干发喷雾[话题]# #livingproof[话题]# #缕灵[话题]# #临期美妆[话题]# #护发养发[话题]# #回购清单[话题]#",normal,60f39e750000000001004f6e,每天想退休,2.0,1.0,0.0,1.0,Living Proof,正向,"去油蓬松, 真的很绝, 用过的都爱"
livingproof,12,,683329c800000000210004b8,https://www.xiaohongshu.com/explore/683329c800000000210004b8?xsec_token=ABy2dVmpkkcFW_na3CHReDCewGRruOtm0l6LrfSzZEuYI=&xsec_source=pc_search,大油头直接冲它就完事了！！,"大油头表示很贼爱living proof
空瓶很多个了！
再油的头也能稳稳控油！清清爽爽～
	
挤出来是比较浓稠的啫喱
湿手就能搓出超免密丰富的泡沫
发丝根根分明 摸起来软软的
从视觉效果上头发层变厚！
香味是清新的花果香调
夏天就需要这种淡雅的香型～
而且坚持用 发丝会变厚变强韧！
除了小贵没毛病～
但现在直接打到3折！现在不冲更待何时[害羞R]
	
#油头救星[话题]# #防脱控油洗发水[话题]# #控油蓬松[话题]# #油头洗发水[话题]# #洗发水控油蓬松[话题]# #livingproof洗发水[话题]# #缕灵丰盈蓬松洗发水[话题]# #Livingproof缕灵[话题]# #缕灵洗发水[话题]# #洗发水[话题]#",normal,62790ce6000000001501745f,bellaaaa,1.0,1.0,3.0,0.0,Living Proof,正向,"贼爱, 控油, 清清爽爽, 香味清新, 淡雅, 发丝变厚变强韧"
livingproof,13,,682c3eb90000000020028492,https://www.xiaohongshu.com/explore/682c3eb90000000020028492?xsec_token=ABuz3To18Td8QFOoI5NC_SnTCtVchxVHPJXoKEkPivKjk=&xsec_source=pc_search,油头扁塌救星,"关于油头软塌我有发言权
先说一下我自己的头发情况，也欢迎大家一起讨论分享❤️
我是个油头，本身的头发有些偏硬，发质整体并不干枯，按理发师的话说我的头发整体发质是比较好的，但发根偏油基本上洗完头隔一天必然会油，发根油的话，会导致头发扁塌贴头皮，我本身一直追求蓬松，头发蓬松会显得脸相对来说会小一点，整体的氛围感更好，市面上大部分有点名气的蓬松洗发水几乎我都尝试过，目前近期手上在用的就是这几瓶洗发水，已经使用过一段时间来做分享。
近期在我心中排行第一的综合水平最高的是图二最左侧胖东来的这瓶洗发水。🌟🌟🌟🌟🌟
这个洗发水洗下来头发并不会特别干，但是蓬松度是有的，并且他的起泡很容易，性价比相对来说也是比较高的，我是被我妈妈安利的，所以大家有机会能买到这瓶洗发水的话，我觉得可以试一试，味道也并不难闻，而且挤不用太多，他就可以很容易起泡
就蓬松度比较好的方面来说，我第二推荐的是living proof，🌟🌟🌟🌟，之前我买的是正常量的，后来换成了大容量，由此可见，我对他的蓬松度是比较满意的，但是他洗完的头发会比较干会容易打结，所以这个时候一定要配合发膜去使用。
来说说老网红Christophe robin，🌟🌟🌟
这个品牌我很早之前就使用过，当时他们家的头皮磨砂膏很有名，我也是用了磨砂膏之后发现蓬松度真的很好，但是也是这样一个问题，洗完之后头发会很干，并且它起泡是需要你自己慢慢揉搓的，所以并不方便。后来我就买了同品牌的洗发水，但洗发水的蓬松度没有那么高，而且也是会有干涩的问题，所以近期我就懒得再用了。
国货品牌这几年势头都比较猛，我入手了若也roye，这个洗发水刚买回来的时候觉得还是有用的，头发来说是有一些蓬松的，但是后来洗着洗着我发现他蓬松保持得很短，然后整体的容量也不是很多，所以性价比相对来说并不高。
revitalash这款洗发水它的味道挺好闻，有一些蓬松度，但同样的问题蓬松程度并不是非常好，而且他还是挺贵的，如果头发出油并不是特别严重，并且有预算，对于香味有要求的话，我觉得这款可以试试。
还有其他几瓶洗发水下篇再分享，后面几张是我卷发或直发的照片，已经尽量不让头发贴头皮了[笑哭R]#油头救星[话题]# #洗发水分享[话题]# #控油蓬松[话题]# #细软塌蓬松的秘密[话题]# #贴头皮救星[话题]#",normal,54df25b9e779893335f9a830,锅盔妈妈,49.0,23.0,12.0,2.0,Living Proof,正向,"蓬松度好, 头发会比较干, 容易打结"
livingproof,14,,681bc7dd000000000303a428,https://www.xiaohongshu.com/explore/681bc7dd000000000303a428?xsec_token=ABaa5JWtP2GNnc5EgcHQSU0PrGv-_mVjSiwZ-oxMzrkf0=&xsec_source=pc_search,🇨🇦真诚发问：没有人认识这个牌子吗？,"真的没有人在Sephora见过它吗🤨
客人问我这是什么牌子这么贵
我在思考🤔
这个牌子在Sephora应该很火的亚子才对吧
原价超级贵诶
难道我们又进了只有我们自己觉得不错的东西吗🙂
	
#GenCBeauty[话题]# #密西沙加生活[话题]# #多伦多生活[话题]# #加拿大最低价[话题]# #护发[话题]# #livingproof[话题]#  #觉得很好用[话题]# #全天然成分[话题]# #小众控的好品[话题]# #不是广不是广[话题]# #不允许你不知道[话题]# #闭眼入[话题]# #发现新事物[话题]# #出乎意料的发现[话题]#",normal,64b74373000000001403d5d3,小跟班和她不死心的老板,24.0,11.0,57.0,1.0,Living Proof,正向,"清香, 持久留香"
